familia_grupo,n,mean_degree,sd_degree,mean_between,n_paises,n_bridges_out,n_internal,closure_index,constraint_proxy,reach,country
güemes,11,0.45454545454545453,0.6875516509523286,0.0909090909090909,1,1,10,0.909008271975275,-0.7392969957658444,1,argentina
güiraldes,3,0.6666666666666666,0.5773502691896258,0,1,0,6,0.9998333611064822,-0,0,argentina
hales,3,1,0,0,1,1,6,0.857020425653478,0,1,chile
heber,6,1,0,0,1,0,18,0.9999444475306927,0,0,uruguay
heiremans,3,0,0,0,1,0,0,0,0,0,chile
heraud,3,0.6666666666666666,0.5773502691896258,0,1,0,2,0.9995002498750625,-0,0,peru
herrera,2,1.5,0.7071067811865476,4,1,1,4,0.7998400319936012,10.638297872340425,1,colombia
herrera_salcedo,2,1,0,0,1,0,6,0.9998333611064822,0,0,mexico
herrán,5,0.4,0.5477225575051662,0,1,0,4,0.9997500624843788,-0,0,colombia
hidalgo_y_costilla,4,0,0,0,1,0,0,0,0,0,mexico
hoke,3,0,0,0,1,0,0,0,0,0,peru
holguín,22,0.45454545454545453,0.6709817063202619,0.0909090909090909,1,2,20,0.9090495886550611,-0.7392969957658444,2,colombia
holmberg,5,0.8,0.8366600265340756,0.2,1,0,8,0.9998750156230471,-2.5316455696202538,0,argentina
humala,9,1.5555555555555556,1.2360330811826106,2.333333333333333,1,0,30,0.9999666677777407,5.387531712322909,0,peru
hurtado,3,0,0,0,1,0,0,0,0,0,colombia
ibáñez,7,1.7142857142857142,0.9511897312113419,3.8571428571428568,1,0,32,0.999968750976532,6.289726779593331,0,chile
ibáñez_colombia,5,0,0,0,1,0,0,0,0,0,colombia
illia,5,0.8,0.8366600265340756,0.2,1,0,6,0.9998333611064822,-2.5316455696202538,0,argentina
iommi,2,0,0,0,2,0,0,0,0,0,argentina
isaías,1,0,,0,1,0,0,0,0,0,ecuador
iturbide,17,1.176470588235294,1.878672873255448,3.588235294117647,2,0,22,0.9999545475205672,34.2368516623197,0,mexico
jara_saguier,8,0,0,0,1,0,0,0,0,0,paraguay
jaramillo_colombia,10,1.3,1.0593499054713802,152.3,1,7,28,0.7999771435101855,777.0408163265305,2,colombia
jattin,8,1.5,1.3093073414159542,1.375,1,0,28,0.9999642869897504,3.6569148936170213,0,colombia
jiménez_de_lobatón,3,1.3333333333333333,0.5773502691896257,0.33333333333333337,1,0,12,0.9999166736105325,1.4932802389248387,0,peru
justo,6,1,0.6324555320336759,0.16666666666666669,1,0,12,0.9999166736105325,166.66666666666669,0,argentina
kaiser,3,0,0,0,1,0,0,0,0,0,chile
kast,15,2.466666666666667,1.4573295865416043,39.2,1,1,78,0.9873292743129833,21.658788139235064,1,chile
kirchner,4,1.5,1,0,1,0,16,0.9999375039060058,0,0,argentina
lacroze,1,0,,0,1,0,0,0,0,0,argentina
lafinur,8,1.5,1.5118578920369088,0.5,2,0,30,0.9999666677777407,1.3297872340425532,0,argentina
lander,10,0.8,0.9189365834726815,1,1,0,18,0.9999444475306927,-12.658227848101268,0,venezuela
lanusse,8,0.25,0.4629100498862757,0,1,0,4,0.9997500624843788,-0,0,argentina
larco,9,0.4444444444444444,0.7264831572567789,0.11111111111111109,1,0,12,0.9999166736105325,-0.9073495312027421,0,peru
largacha,2,1,0,0,1,2,0,0,0,2,colombia
larrabure,3,0.6666666666666666,0.5773502691896258,0,1,0,4,0.9997500624843788,-0,0,peru
laserna,12,2.25,1.9128750375000738,5.097222222222224,1,3,54,0.9473518008455992,3.622115631353508,1,colombia
lavalle,37,1.3513513513513513,1.0856696913328097,3.5135135135135136,2,3,128,0.9770917779253593,14.737919348957776,2,peru
lavalleja,5,0.8,0.8366600265340756,0.2,1,0,6,0.9998333611064822,-2.5316455696202538,0,uruguay
lavín,16,1,1.2110601416389966,2.09375,1,2,32,0.9411487897414783,2093.75,1,chile
lebaron,5,0.8,0.44721359549995804,0,1,0,6,0.9998333611064822,-0,0,mexico
leguía,6,1,1.5491933384829668,0.4166666666666667,1,9,6,0.3999733351109926,416.6666666666667,1,peru
lemos,6,0.6666666666666666,0.816496580927726,0.16666666666666666,1,0,10,0.9999000099990002,-1.5136226034308777,0,colombia
lerdo_de_tejada,7,0,0,0,1,0,0,0,0,0,mexico
leyva,23,0.782608695652174,0.671262158456362,0.21739130434782608,2,10,32,0.7618866217471013,-2.585954891952059,3,colombia
lezica,3,0,0,0,1,0,0,0,0,0,argentina
león-velarde,5,1.2,0.44721359549995793,0.2,1,0,16,0.9999375039060058,1.6528925619834716,0,peru
león_barandiarán,10,0.2,0.42163702135578396,0,1,0,6,0.9998333611064822,-0,0,peru
lindley,2,0,0,0,1,0,0,0,0,0,peru
llaca,5,0,0,0,1,0,0,0,0,0,mexico
lleras,21,2,1.760681686165901,33.30848886563172,1,12,78,0.8666570371440316,33.27521365197975,1,colombia
llinás,4,0.25,0.5,0,1,1,0,0,-0,1,colombia
llona,9,0.6666666666666666,0.7071067811865476,0.1111111111111111,2,0,16,0.9999375039060058,-1.0090817356205852,0,peru
lloreda,1,0,,0,1,0,0,0,0,0,colombia
llosa,14,0.9285714285714285,0.9972489631508746,1.0714285714285716,1,6,22,0.7856862254919467,-33.31218274111672,4,peru
loret_de_mola,5,0.4,0.5477225575051662,0,2,0,2,0.9995002498750625,-0,0,mexico
lozano,13,1.3846153846153846,1.12089707663561,1.653846153846154,1,9,36,0.7999822226172753,6.1878722132435975,2,colombia
lugones,5,1.2,1.0954451150103321,0.6,1,0,14,0.9999285765302479,4.9586776859504145,0,argentina
luksic,7,1.7142857142857142,2.0586634591635513,6.7857142857142865,1,7,10,0.588200694076819,11.065260075210492,1,chile
luna,20,1.2,1.2396943596157717,1,1,0,66,0.9999848487144134,8.264462809917358,0,peru
luna_parra,1,0,,0,1,0,0,0,0,0,mexico
lópez,24,2.583333333333333,1.9318084941243565,10.708333333333332,1,0,136,0.9999926471128888,5.233434246073228,0,colombia
lópez-dóriga,14,0.1428571428571429,0.36313651960128146,0,1,0,6,0.9998333611064822,-0,0,mexico
lópez-moctezuma,3,0.6666666666666666,0.5773502691896258,0,1,0,4,0.9997500624843788,-0,0,mexico
lópez-portillo,11,1.0909090909090908,1.1361818036340359,2.2727272727272725,1,0,28,0.9999642869897504,44.92729946087244,0,mexico
lópez-rayón,6,1.6666666666666665,1.632993161855452,1.6666666666666667,1,0,30,0.9999666677777407,2.9946097025354375,0,mexico
lópez_carrillo,15,2,1.7728105208558367,6.733333333333333,2,0,72,0.9999861113040096,6.726606726606727,0,paraguay
lópez_negrete,8,1.25,1.2817398889233114,1.625,1,0,22,0.9999545475205672,10.333863275039745,0,mexico
lópez_venezuela,2,0,0,0,1,0,0,0,0,0,venezuela
