family,block,K_selected,entropy.x,country,icl,bic,entropy.y
chávez,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
cházaro,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
cisneros,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cisneros_venezuela,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
claro_chile,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cock,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
concha,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
concha_chile,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
coni,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
copello,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
corcuera,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cordovéz,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
cornejo_argentina,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
coronel_méxico,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
cortés_de_monroy,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cousiño,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
creel-terrazas,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
cruz-coke,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cruz_chile,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cruzat,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cuervo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
cueto,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
cueto_caballero,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cullen,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
cáceres_velásquez,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
cámpora,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
cárdenas,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
daract,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
de_greiff,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
de_habich,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
de_la_espriella,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
