url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/Aldo_Mari%C3%A1tegui_Bosse,0,0,0,0,0,Aldo Mariátegui,mariátegui,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Aleida_Guevara,4,0,0,0,0,Aleida Guevara,guevara,argentina,4,1,0,0,0,0
https://es.wikipedia.org/wiki/Aleida_Guevara_March,1,0,0,0,0,Aleida Guevara,guevara,argentina,1,1,0,0,0,0
https://es.wikipedia.org/wiki/Aleida_March,9,0,0,0,0,Aleida March,guevara,argentina,9,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandra_Botero_Barco,0,0,0,0,0,Alejandra Botero Barco,barco,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandra_Guzm%C3%A1n,0,0,0,0,0,Alejandra Guzmán,pinal_hidalgo,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandra_de_Cima_Aldrete,0,0,0,0,0,Alejandra de Cima Aldrete,azcárraga,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_%C3%89der,4,0,0,0,0,Alejandro Eder,caicedo,colombia,4,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Alayza_Mujica,0,0,0,0,0,Alejandro Alayza Mujica,alayza,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Arag%C3%B3n,0,0,0,0,0,Alejandro Aragón,bichir,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Arenas_Villarreal,9,0,0,0,0,Alejandro Arenas Villarreal,arenas,peru,9,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Awada,0,0,0,0,0,Alejandro Awada,awada,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Baill%C3%A8res,0,0,0,0,0,Alejandro Baillères,baillères,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Borensztein,6,0,0,0,0,Alejandro Borensztein,borensztein,argentina,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Bulgheroni,0,0,0,0,0,Alejandro Bulgheroni,bulgheroni,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Bunge,0,0,1,0,0,Alejandro Bunge,bunge,argentina,1,0,0,1,0,0
https://es.wikipedia.org/wiki/Alejandro_Camacho,2,0,0,0,0,Alejandro Camacho,fuentes_berain,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Carrillo_Castro,2,0,0,0,0,Alejandro Carrillo Castro,fernández_veraud,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Carrillo_Marcor,0,0,0,0,0,Alejandro Carrillo Marcor,fernández_veraud,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Char,1,0,0,0,0,Alejandro Char,char,colombia,1,1,0,0,0,0
