family,degree,coreness,in_3_core,in_4_core,core_score,be_fit_global
eder,3,2,FALSE,FALSE,0.5258055696460527,0.19806993296305744
edwards,3,2,FALSE,FALSE,0.18157839953551264,0.19806993296305744
eguiguren,1,1,FALSE,FALSE,2.191666672145683e-48,0.19806993296305744
elmore,0,0,FALSE,FALSE,9.031864599475339e-49,0.19806993296305744
eléspuru,0,0,FALSE,FALSE,3.860727188341843e-49,0.19806993296305744
elías,3,1,FALSE,FALSE,2.3230337222920723e-48,0.19806993296305744
elías-calles,0,0,FALSE,FALSE,1.8074984878904064e-48,0.19806993296305744
elías-gonzález,0,0,FALSE,FALSE,1.4999073515614048e-48,0.19806993296305744
errázuriz,6,2,FALSE,FALSE,0.028673535737178533,0.19806993296305744
escalada,3,2,FALSE,FALSE,3.4089201190505205e-35,0.19806993296305744
escalada_(de_burgos),0,0,FALSE,FALSE,1.1856525821724914e-48,0.19806993296305744
escobar_gaviria,0,0,FALSE,FALSE,4.68693951049175e-49,0.19806993296305744
esguerra,0,0,FALSE,FALSE,3.6824131456353324e-49,0.19806993296305744
estenssoro,0,0,FALSE,FALSE,8.274495769926316e-49,0.19806993296305744
estrada,0,0,FALSE,FALSE,1.4237379215579962e-48,0.19806993296305744
estrada_ecuador,0,0,FALSE,FALSE,6.156039826388755e-49,0.19806993296305744
etcheberry,0,0,FALSE,FALSE,8.24003771384697e-49,0.19806993296305744
falú,0,0,FALSE,FALSE,7.62690636033607e-51,0.19806993296305744
familias_fundadoras_de_chile,0,0,FALSE,FALSE,2.480157902863805e-49,0.19806993296305744
farfán,0,0,FALSE,FALSE,7.769395815411975e-49,0.19806993296305744
farías,1,1,FALSE,FALSE,0.011821419715812942,0.19806993296305744
febres-cordero,1,1,FALSE,FALSE,1.280937814679087e-48,0.19806993296305744
feliú,0,0,FALSE,FALSE,1.5322682543086767e-49,0.19806993296305744
fernandini,0,0,FALSE,FALSE,1.0329361119010245e-48,0.19806993296305744
fernández-maldonado,0,0,FALSE,FALSE,5.290921037018651e-49,0.19806993296305744
fernández_chicarro,0,0,FALSE,FALSE,5.0642634876533256e-49,0.19806993296305744
fernández_cornejo,0,0,FALSE,FALSE,1.19159573858251e-48,0.19806993296305744
fernández_de_jáuregui,0,0,FALSE,FALSE,1.2652148711101039e-48,0.19806993296305744
fernández_de_soto,0,0,FALSE,FALSE,8.144042862319203e-49,0.19806993296305744
fernández_veraud,0,0,FALSE,FALSE,1.5496573920295556e-48,0.19806993296305744
ferrero,0,0,FALSE,FALSE,3.2079255868501504e-49,0.19806993296305744
ferreyros,0,0,FALSE,FALSE,2.6381026155899628e-49,0.19806993296305744
flores_magón,0,0,FALSE,FALSE,1.3983285864504364e-49,0.19806993296305744
fontaina,0,0,FALSE,FALSE,9.507888325601607e-49,0.19806993296305744
fontaine,1,1,FALSE,FALSE,1.4946762626967684e-48,0.19806993296305744
fontbona,1,1,FALSE,FALSE,9.936992458189367e-49,0.19806993296305744
fortabat,0,0,FALSE,FALSE,1.3045013405908727e-48,0.19806993296305744
frayssinet,1,1,FALSE,FALSE,1.7550595537429142e-48,0.19806993296305744
frei,0,0,FALSE,FALSE,8.021963536892295e-49,0.19806993296305744
freire,0,0,FALSE,FALSE,2.811550703539933e-48,0.19806993296305744
freundt,0,0,FALSE,FALSE,1.2785691693326034e-48,0.19806993296305744
frigerio,0,0,FALSE,FALSE,7.59269655390812e-49,0.19806993296305744
fuentes_berain,0,0,FALSE,FALSE,1.036806714800935e-48,0.19806993296305744
fujimori,0,0,FALSE,FALSE,2.080580770039582e-48,0.19806993296305744
galeana,0,0,FALSE,FALSE,8.312933067188884e-49,0.19806993296305744
galeano,2,2,FALSE,FALSE,0.1330675319215798,0.19806993296305744
galilea,0,0,FALSE,FALSE,1.9104853500032197e-48,0.19806993296305744
gallardo,0,0,FALSE,FALSE,5.071323049831274e-49,0.19806993296305744
galleguillos,0,0,FALSE,FALSE,1.5808559315697748e-48,0.19806993296305744
galvis_galavís,0,0,FALSE,FALSE,8.371096871691505e-49,0.19806993296305744
galán,2,1,FALSE,FALSE,1.7136319917765324e-17,0.19806993296305744
gandarillas,0,0,FALSE,FALSE,1.7839479353247817e-48,0.19806993296305744
garcés,0,0,FALSE,FALSE,2.8785280519503888e-49,0.19806993296305744
garcía-huidobro,4,2,FALSE,FALSE,0.3394948099065605,0.19806993296305744
garcía-mansilla,4,1,FALSE,FALSE,4.2918586618131646e-6,0.19806993296305744
garcía_calderón,0,0,FALSE,FALSE,5.585221648619792e-50,0.19806993296305744
garcía_de_león,0,0,FALSE,FALSE,5.290154278480545e-49,0.19806993296305744
garcía_de_sobrecasa,1,1,FALSE,FALSE,1.0559092003129448e-6,0.19806993296305744
garcía_de_zúñiga,1,1,FALSE,FALSE,3.383419339743314e-48,0.19806993296305744
garcía_godos,0,0,FALSE,FALSE,6.4578775800180635e-49,0.19806993296305744
garcía_granados,0,0,FALSE,FALSE,8.717172440204369e-49,0.19806993296305744
garcía_icazbalceta,0,0,FALSE,FALSE,2.959283760942305e-51,0.19806993296305744
