nombre_p,fam_p,pais_p,nombre_r,fam_r,pais_r,tipo_relacion,ocupacion_p,ocupacion_r
Anacleto Clemente Bolívar,palacios_venezuela,venezuela,María Antonia Bolívar Palacios,toro_venezuela,venezuela,hijo/a,Militar,Propietaria
Andrés Marroquín Osorio,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,hijo/a,NA,Escritor educador político periodista Estadista
Andrés Villamizar,pachón,colombia,Maruja Pachón,galán,colombia,hijo/a,Economista,Periodista
Antonio Subercaseaux,subercaseaux,chile,Ramón Subercaseaux Mercado,errázuriz,chile,hijo/a,Comerciante,"Comerciante , Pintura"
Arturo Alessandri Rodríguez,velasco_chile,chile,Arturo Alessandri,morandé,chile,hijo/a,Abogado,Abogado y político
Bolívar Ulloa,ulloa,peru,Luis Ulloa,cisneros,peru,hijo/a,"Diplomático, docente universitario",Historiador
Carlos Eugenio Restrepo,restrepo,colombia,Pedro Antonio Restrepo,jaramillo_colombia,colombia,hijo/a,"Abogado , periodista y militar","Empresario, educador, político, abogado"
Carlos Palacios y Blanco,palacios_venezuela,venezuela,Feliciano Palacios y Sojo,toro_venezuela,venezuela,hijo/a,Militar,Militar
Carlos Villaveces Restrepo,villaveces,colombia,León Villaveces Ibáñez,urdaneta,colombia,hijo/a,NA,Litógrafo e impresor
Cristián Samper,samper,colombia,Armando Samper,gnecco,colombia,hijo/a,Biólogo y ambientalista,Político
Delfina de la Cruz,vial,chile,José María de la Cruz Prieto,cruz_chile,chile,hijo/a,"Primera dama , pianista y compositora",NA
Eduardo Alessandri,velasco_chile,chile,Arturo Alessandri,morandé,chile,hijo/a,Político y abogado,Abogado y político
Eduardo Matte,matte,chile,Domingo Matte Mesías,bello,chile,hijo/a,Político y abogado,Político y abogado
Eduardo Santos Montejo,santos,colombia,Francisco Santos Galvis,calderón_colombia,colombia,hijo/a,Abogado periodista historiador Político,"Abogado, periodista, político, empresario de medios"
Enrique Tola Mendoza,tola,peru,Fernando Tola Cires,de_habich,peru,hijo/a,"Ingeniero civil , docente universitario","Diplomático , político y abogado"
Esteban Justo García de Zúñiga,garcía_de_zúñiga,argentina,Alonso García de Zúñiga,warnes,argentina,hijo/a,Militar,Militar y comerciante
Esteban Palacios y Blanco,palacios_venezuela,venezuela,Feliciano Palacios y Sojo,toro_venezuela,venezuela,hijo/a,Político y Diputado a las Cortes de Cádiz,Militar
Fernando Alessandri,velasco_chile,chile,Arturo Alessandri,morandé,chile,hijo/a,Abogado,Abogado y político
Fernando Bolívar,palacios_venezuela,venezuela,Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,hijo/a,NA,NA
Fernando Caro Tanco,azuola,colombia,Julio Caro,caicedo,colombia,hijo/a,Fotógrafo y periodista,"Economista , Banquero"
Francisco Sanz de Santamaría,galeano,colombia,Nicolás Sanz de Santamaría,prieto,chile,hijo/a,abogado,alcalde capitán
Gervasio Ortiz de Rozas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,hijo/a,Político,Estanciera
Gervasio Ortiz de Rozas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,hijo/a,Político,Militar y político
Guillermo Palacios Bolívar,palacios_venezuela,venezuela,Juana Bolívar Palacios,toro_venezuela,venezuela,hijo/a,Militar,NA
Gustavo Santos Montejo,santos,colombia,Francisco Santos Galvis,calderón_colombia,colombia,hijo/a,"Escritor, artista","Abogado, periodista, político, empresario de medios"
Ignacio Warnes,garcía_de_zúñiga,argentina,Ana Jacoba García de Zúñiga,warnes,argentina,hijo/a,Militar y político,Ejército Patriota
Inti Briones,mendoza_ladrón_de_guevara,chile,Sybila Arredondo,bustamante,chile,hijo/a,"Director de cine , actor , director de fotografía y productor de cine",Historiadora
Isabel Sabogal,sabogal,peru,José Sabogal Wiesse,portocarrero_perú,peru,hijo/a,"Escritora , traductora , astróloga",Ingeniero agrónomo y Sociólogo
Javier Prado y Ugarteche,prado,peru,Mariano Ignacio Prado,málaga,peru,hijo/a,"Historiador , abogado",Militar
Joaquín Prieto Hurtado,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,hijo/a,"Abogado , empresario y político",diputado y empresario
Joaquín Prieto Warnes,garcía_de_zúñiga,chile,Joaquín Prieto,warnes,chile,hijo/a,diputado y empresario,Militar y político
Joaquín Prieto Warnes,garcía_de_zúñiga,chile,Manuela Warnes,warnes,chile,hijo/a,diputado y empresario,Primera Dama
Jorge Alessandri,velasco_chile,chile,Arturo Alessandri,morandé,chile,hijo/a,"Ingeniero civil , emprendedor , político e ingeniero",Abogado y político
Jorge Batlle,saavedra,uruguay,Matilde Ibáñez Tálice,batlle,argentina,hijo/a,Abogado periodista político,Política
Jorge Prado Ugarteche,prado,peru,Mariano Ignacio Prado,málaga,peru,hijo/a,Político y diplomático,Militar
José de San Martín,san_martín,argentina,Juan de San Martín,balcarce,argentina,hijo/a,Militar y político,"Militar , funcionario y gobernante colonial"
José Manuel Marroquín Osorio,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,hijo/a,"Escritor, licenciado en derecho canónico, biógrafo, necrólogo, sacerdote católico, educador",Escritor educador político periodista Estadista
José María Echenique y Tristán,tristán_del_pozo,peru,Victoria Tristán de Echenique,echenique,peru,hijo/a,Político,NA
José Pablo Leyva,leyva,colombia,Lisandro Leyva Mazuera,durán_colombia,colombia,hijo/a,médico,Militar
Grocio Prado,prado,peru,Mariano Ignacio Prado,málaga,peru,hijo/a,Oficial militar,Militar
Juan Fermín de San Martín,san_martín,argentina,Gregoria Matorras,balcarce,argentina,hijo/a,Militar,Activista
Juan Fermín de San Martín,san_martín,argentina,Juan de San Martín,balcarce,argentina,hijo/a,Militar,"Militar , funcionario y gobernante colonial"
Juan Manuel de Rosas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,hijo/a,"Estanciero , militar y político",Estanciera
Juan Manuel de Rosas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,hijo/a,"Estanciero , militar y político",Militar y político
Juan Martín Echenique,tristán_del_pozo,peru,Victoria Tristán de Echenique,echenique,peru,hijo/a,Político,NA
Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,hijo/a,NA,NA
Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,hijo/a,NA,NA
Juana Bolívar Palacios,toro_venezuela,venezuela,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,hijo/a,NA,NA
Juana Bolívar Palacios,toro_venezuela,venezuela,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,hijo/a,NA,NA
Juana Uribe,pachón,colombia,Maruja Pachón,galán,colombia,hijo/a,"Guionista , productora de televisión",Periodista
Julio Caro,caicedo,colombia,Miguel Antonio Caro,azuola,colombia,hijo/a,"Economista , Banquero","Estadista , humanista ."
Julio Portocarrero O'Leary,caicedo,colombia,Ricardo Portocarrero Caicedo,soublette,colombia,hijo/a,NA,Comerciante
Leoncio Prado,prado,peru,Mariano Ignacio Prado,málaga,peru,hijo/a,Oficial naval,Militar
Leonor Cortés Moctezuma,pizarro,chile,Hernán Cortés,moctezuma,colombia,hijo/a,NA,"Conquistador , explorador y marqués"
Lisandro Leyva Pereira,leyva,colombia,Lisandro Leyva Mazuera,durán_colombia,colombia,hijo/a,"Médico traumatólogo, escritor, ortopedista, educador",Militar
Lorenzo Marroquín,ricaurte,colombia,José Manuel Marroquín,nariño,colombia,hijo/a,"Escritor, político y diplomático",Escritor educador político periodista Estadista
Luciano Urdaneta Vargas,parís,venezuela,Dolores Vargas París,urdaneta,venezuela,hijo/a,Arquitecto e ingeniero,NA
Luis Batlle Ibáñez,saavedra,uruguay,Matilde Ibáñez Tálice,batlle,argentina,hijo/a,Pianista,Política
Luis Miró Quesada Garland,miró_quesada,peru,Luis Miró Quesada de la Guerra,cisneros,peru,hijo/a,"arquitecto, periodista","Periodista, político"
Luis Villaveces Santamaría,villaveces,colombia,León Villaveces Ibáñez,urdaneta,colombia,hijo/a,"Empresario, contador público y juguetero",Litógrafo e impresor
Manuel Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,hijo/a,Militar,Político y Comerciante
Manuel Escalada,san_martín,argentina,Tomasa de la Quintana,balcarce,argentina,hijo/a,Militar,Dama patricia
Manuel Velarde Dellepiane,diez_canseco,peru,Manuel Velarde Aspíllaga,paz,peru,hijo/a,Político y abogado,"Abogado , político"
María Antonia Bolívar Palacios,toro_venezuela,venezuela,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,hijo/a,Propietaria,NA
María Antonia Bolívar Palacios,toro_venezuela,venezuela,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,hijo/a,Propietaria,NA
María Eugenia de Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,hijo/a,Ejércitos patriotas,Político y Comerciante
María José Zaldívar,zaldívar,chile,Adolfo Zaldívar,vicuña,chile,hijo/a,Abogada y política,Abogado y político
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,Feliciano Palacios y Sojo,toro_venezuela,venezuela,hijo/a,NA,Militar
María de las Nieves de Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,hijo/a,Ejércitos patriotas,Político y Comerciante
María de las Nieves de Escalada,san_martín,argentina,Tomasa de la Quintana,balcarce,argentina,hijo/a,Ejércitos patriotas,Dama patricia
Marcelino Uribe Arango,restrepo,colombia,Marcelino Uribe Botero,urdaneta,colombia,hijo/a,"Político , abogado","Político , militar , abogado"
Margarita Caro de Holguín,caro,colombia,José Eusebio Caro,azuola,colombia,hijo/a,NA,"Filósofo, poeta, escritor, ideólogo"
Mariano Escalada,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,hijo/a,Militar,Político y Comerciante
Mariano Escalada,san_martín,argentina,Tomasa de la Quintana,balcarce,argentina,hijo/a,Militar,Dama patricia
Mariano Prado Ugarteche,prado,peru,Mariano Ignacio Prado,málaga,peru,hijo/a,"Empresario , banquero , catedrático universitario , político",Militar
Martín José Warnes,garcía_de_zúñiga,argentina,Ana Jacoba García de Zúñiga,warnes,argentina,hijo/a,Militar,Ejército Patriota
Maximiano Errázuriz Valdivieso,errázuriz,chile,Francisco Javier Errázuriz Aldunate,echaurren,chile,hijo/a,Agrimensor,"Militar , político , comerciante y agricultor"
Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,hijo/a,Escritora,Estanciera
Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,hijo/a,Escritora,Militar y político
Nicanor Restrepo Santamaría,restrepo,colombia,Juan Guillermo Restrepo,jaramillo_colombia,colombia,hijo/a,"Empresario, profesor y líder",Político
Prudencio Rosas,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,hijo/a,Militar,Estanciera
Prudencio Rosas,ortiz_de_rozas,argentina,León Ortiz de Rozas,garcía-mansilla,argentina,hijo/a,Militar,Militar y político
Rafael Urdaneta Vargas,parís,venezuela,Dolores Vargas París,urdaneta,venezuela,hijo/a,Político y militar,NA
Ricardo Matte Pérez,matte,chile,Domingo Matte Mesías,bello,chile,hijo/a,Abogado,Político y abogado
Rodrigo Lloreda Caicedo,caicedo,colombia,Álvaro Lloreda,cabal,colombia,hijo/a,"Abogado, periodista, empresario",Político y diplomático
Simón Bolívar,bolívar,colombia,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,hijo/a,Militar y político,NA
Tadea Lozano e Isasi,lozano,colombia,José María Lozano de Peralta,álvarez_del_casal,colombia,hijo/a,NA,Empresario
Teresa Carreño,carreño,venezuela,Manuel Antonio Carreño,toro_venezuela,venezuela,hijo/a,"Pianista , cantante y compositora","Diplomático , Músico y Pedagogo"
Teresa Tanco de Herrera,cordovéz,colombia,Mariano Tanco,argáez,colombia,hijo/a,Pianista y compositora,Diplomático
Victoria Subercaseaux Vicuña,subercaseaux,chile,Ramón Subercaseaux Mercado,errázuriz,chile,hijo/a,NA,"Comerciante , Pintura"
Alonso García de Zúñiga,warnes,argentina,Juan Francisco García de Zúñiga,garcía_de_zúñiga,argentina,hijo/a,Militar y comerciante,Militar
Ana Carolina Gaillard,rodríguez_saá,argentina,Felipe Saá,saá,argentina,hijo/a,Política,Militar
Ana Faustina Sarmiento,sarsfield,argentina,Augusto Belín Sarmiento,sarmiento,argentina,hijo/a,Profesora,"Periodista , diplomático y bibliotecario"
Ana Faustina Sarmiento,sarsfield,argentina,Eugenia Belín Sarmiento,sarmiento,argentina,hijo/a,Profesora,Pintora
Ana de Narváez de Caro,caicedo,colombia,Victor Caro,azuola,colombia,hijo/a,NA,"Escritor, poeta, científico, catedrático, filántropo, periodista"
Andrónico Lukšić Abaroa,luksic,chile,Andrónico Lukšić Craig,fontbona,chile,hijo/a,Empresario,Empresario
Andrónico Lukšić Abaroa,luksic,chile,Guillermo Lukšić,fontbona,chile,hijo/a,Empresario,Empresario
Andrónico Lukšić Abaroa,luksic,chile,Jean-Paul Luksić,fontbona,chile,hijo/a,Empresario,"Administrador de empresas , empresario y dirigente gremial"
Andrónico Lukšić Abaroa,luksic,chile,Familia Lukšić,fontbona,chile,hijo/a,Empresario,NA
Andrea Llosa,llosa,peru,Cristóbal Quintero,quintero,colombia,hijo/a,Periodista,Navegante y explorador
Antonio Vodanovic,vodanovic,chile,Carolina Marzán,pinto_chile,chile,hijo/a,"Presentador de televisión , productor de televisión , personalidad de radio y periodista",Actriz y política
Antonio de Vergara Azcárate,vergara-azcárate,colombia,Francisco Vergara Mayorga,olmos,colombia,hijo/a,"Militar , Político , Caballero y Tesorero",Contador
Arturo Alessandri,velasco_chile,chile,Hernán Alessandri,morandé,chile,hijo/a,Abogado y político,Médico
Augusto Leguía,leguía,peru,Juan Leguía Swayne,diez_canseco,peru,hijo/a,"Político , negociante y empresario",Piloto de aviación
Augusto Leguía,leguía,peru,Enriqueta Leguía,diez_canseco,peru,hijo/a,"Político , negociante y empresario",Poetisa y escritora
Augusto Leguía,leguía,peru,Joaquín Leguía Gálvez,diez_canseco,peru,hijo/a,"Político , negociante y empresario","Abogado , docente universitario"
Begoña Basauri,di_girolamo,chile,Paz Undurraga,undurraga,chile,hijo/a,Actriz,Cantante
Benita Martínez Pastoriza de Sarmiento,sarmiento,argentina,Dominguito Fidel Sarmiento,sarsfield,argentina,hijo/a,NA,Militar
Bernardo Larraín Vial,vial,chile,María Soledad Tohá,tohá,chile,hijo/a,Abogado y político,Política y profesora
Blanca Guerra,pinal_hidalgo,mexico,Emiliano Figueroa,vicuña,chile,hijo/a,actriz,Abogado y político
Carlos Cano (actor),frayssinet,peru,Carolina Cano,cano,peru,hijo/a,Actor y Productor de teatro,Actriz modelo
Carolina Vásquez de Ospina,lleras,colombia,Manuel Ospina Vásquez,ospina,colombia,hijo/a,Empresaria,"Político , terrateniente"
Casimiro Ulloa,ulloa,peru,Alberto Ulloa Cisneros,cisneros,peru,hijo/a,"médico , docente , escritor , periodista , político","Periodista , diplomático y político"
Casimiro Ulloa,ulloa,peru,Luis Ulloa,cisneros,peru,hijo/a,"médico , docente , escritor , periodista , político",Historiador
Clemente López de Osornio,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,hijo/a,Militar,Estanciera
Consuelo Lleras Puga,carrizosa,colombia,Felipe Zuleta Lleras,camargo,colombia,hijo/a,Política,Periodista
Cristóbal de Mosquera y Silva,mosquera,colombia,José de Mosquera y Prieto,arboleda,colombia,hijo/a,NA,NA
David Char,char,colombia,Antonio Cafiero,cafiero,argentina,hijo/a,Administrador de empresas,"Contador público , político"
Delfina de la Cruz,vial,chile,Francisco Antonio Pinto Cruz,cruz_chile,chile,hijo/a,"Primera dama , pianista y compositora","Abogado , político , diplomático"
Diana Turbay,turbay,colombia,Miguel Uribe Turbay,quintero,colombia,hijo/a,Periodista,Abogado y político
Domingo Matte Mesías,bello,chile,Claudio Matte,matte,chile,hijo/a,Político y abogado,"Abogado , educador , político y filántropo"
Domingo Matte Mesías,bello,chile,Delia Matte Pérez,matte,chile,hijo/a,Político y abogado,Suffragette
Eduardo Vásquez Jaramillo,ospina,colombia,Carolina Vásquez de Ospina,lleras,colombia,hijo/a,"Político , Terrateniente , Banquero",Empresaria
Eliodoro Matte Ossa,bunster,chile,Eliodoro Matte Larraín,matte,chile,hijo/a,Empresario,Empresario
Eliodoro Matte Ossa,bunster,chile,Bernardo Matte,matte,chile,hijo/a,Empresario,Ingeniero comercial y empresario
Emilio Edwards,edwards,chile,Santiago Eder,eder,colombia,hijo/a,"Actor , bailarín",Abogado y empresario
Encarnación Ezcurra,ortiz_de_rozas,argentina,Pedro Rosas y Belgrano,belgrano,argentina,hijo/a,Política,Militar
Ernesto Samper,samper,colombia,Miguel Samper Strouss,gnecco,colombia,hijo/a,"Diplomático , abogado , economista y político","Abogado , político"
Estanislao Vergara,tenorio,colombia,José María Vergara Tenorio,caicedo,colombia,hijo/a,"abogado , diplomático , político","Escritor, Periodista y Diplomático"
Eustoquio Díaz Vélez,díaz_vélez,argentina,Eustoquio Gómez,gómez_venezuela,venezuela,hijo/a,"militar , estadista y estanciero",Militar
Eustoquio Díaz Vélez (hijo),díaz_vélez,argentina,Carlos Díaz Vélez,álvarez_de_toledo_argentina,argentina,hijo/a,"estanciero, político",estanciero
Fabio Lozano y Lozano,torrijos,colombia,Alberto Lozano Simonelli,lozano,colombia,hijo/a,"Abogado, escritor, historiador, diplomático","abogado , historiador, político, rector, escritor, embajador"
Federico Pinedo (hijo),pinedo,argentina,Enriqueta Pinto,bulnes,chile,hijo/a,"Abogado, economista",Ama de casa
Felipe Santiago Ignacio de Otálora y del Ribero,otálora,argentina,Felipe Kast,kast,chile,hijo/a,Hacendado,"Economista , político y consultor"
Fernando Castillo Velasco,velasco_chile,chile,Carmen Calisto,borja,ecuador,hijo/a,Arquitecto y político,Política
Flor Silvestre,aguilar,mexico,Marcela Robles,robles,peru,hijo/a,Cantante y actriz,Escritora Poeta Cineasta Periodista
Flora Azcuénaga,azcuénaga,argentina,Francisco Melo,portales,chile,hijo/a,filántropa,Actor y productor
Francisco Antonio Pinto,cruz_chile,chile,Enriqueta Pinto,bulnes,chile,hijo/a,"Militar , abogado y político",Ama de casa
Francisco Javier Errázuriz Aldunate,echaurren,chile,Crescente Errázuriz,errázuriz,chile,hijo/a,"Militar , político , comerciante y agricultor",NA
Francisco Javier Errázuriz Aldunate,errázuriz,chile,Federico Errázuriz Zañartu,echaurren,chile,hijo/a,"Militar , político , comerciante y agricultor",Político y abogado
Francisco Ramón Vicuña Larraín,mackenna,chile,Magdalena Vicuña Aguirre,errázuriz,chile,hijo/a,"Militar , Político",Socialité y filántropa
Francisco Subercaseaux Breton,subercaseaux,chile,Ramón Subercaseaux Mercado,errázuriz,chile,hijo/a,Empresario,"Comerciante , Pintura"
Francisco Vergara Mayorga,olmos,colombia,José de Vergara Azcárate,caicedo,colombia,hijo/a,Contador,"Sacerdote , Filósofo"
Francisco de Alvear y Gómez de la Cortina,alvear,argentina,José María del Carril,del_carril,argentina,hijo/a,"Empresario , bodeguero y político",Abogado
Francisco Vergara Mayorga,olmos,colombia,José de Vergara Azcárate,caicedo,colombia,hijo/a,Contador,"Sacerdote , Filósofo"
Francisco de Vergara y Azcárate,olmos,colombia,Antonio de Vergara Azcárate,vergara-azcárate,colombia,hijo/a,Militar,"Militar , Político , Caballero y Tesorero"
Guillermo Valencia,valencia,colombia,Guillermo León Valencia,laserna,colombia,hijo/a,"Escritor, político, diplomático","Abogado , político , diplomático"
Guillermo Valencia,laserna,colombia,Josefina Valencia,valencia,colombia,hijo/a,"Escritor, político, diplomático","Diplomática, política y divulgadora cultural."
Guillermo Valencia,laserna,colombia,Álvaro Pío Valencia,valencia,colombia,hijo/a,"Escritor, político, diplomático","Abogado, escritor, activista, educador"
Hernán Cubillos,allamand,chile,Felipe Saá,saá,argentina,hijo/a,"Oficial naval , diplomático y empresario",Militar
Huayna Cápac,pizarro,chile,Huáscar,tito,peru,hijo/a,NA,NA
Ignacio Escudero y Valdivieso,eguiguren,peru,Gabriel Soto,díaz_lombardo,mexico,hijo/a,Político,Actor
Ignacio Ortiz de Zevallos,ortiz_de_zevallos,peru,Manuel Ortiz de Zevallos,del_solar,peru,hijo/a,NA,"Abogado , diplomático y político"
Ignacio Sanz de Santamaría,sanz_de_santamaría,colombia,José Sanz de Santamaría,galeano,colombia,hijo/a,Empresario,Político y militar
Ignacio Vargas,parís,colombia,Dolores Vargas París,urdaneta,venezuela,hijo/a,Político,NA
Ignacio de la Carrera y de las Cuevas,valdivieso,chile,Juan José Neira,acevedo_colombia,colombia,hijo/a,Militar y político,Militar y político
Ignacio de la Carrera y de las Cuevas,valdivieso,chile,Javiera Carrera,valdés_chile,chile,hijo/a,Militar y político,NA
Ignacio de la Carrera y de las Cuevas,valdés_chile,chile,Juan José Neira,acevedo_colombia,colombia,hijo/a,Militar y político,Militar y político
Ignacio de la Carrera y de las Cuevas,valdés_chile,chile,José Miguel Carrera,valdivieso,chile,hijo/a,Militar y político,Político y militar
Isaac León Frías,tamayo_perú,peru,Matilde León,alarco,peru,hijo/a,"Periodista , Escritor , crítico de cine y profesor universitario",Actriz y guionista
Jaime Tohá,tohá,chile,Juan José Neira,acevedo_colombia,colombia,hijo/a,Ingeniero forestal y político,Militar y político
Joaquín Prieto,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,hijo/a,Militar y político,diputado y empresario
Joaquín Prieto Concha,warnes,chile,José Joaquín Casas,casas,colombia,hijo/a,"Abogado , empresario y político",Abogado
José Antonio Íñiguez,vicuña,chile,Pedro Íñiguez Larraín,bello,chile,hijo/a,"Político , escritor , historiador","Político , ingeniero civil"
José Bernardo Sáenz de Santamaría,galeano,colombia,Nicolás Sanz de Santamaría,prieto,chile,hijo/a,"Militar , Político , Caballero",alcalde capitán
José Cayetano Carreño,carreño,venezuela,Manuel Antonio Carreño,toro_venezuela,venezuela,hijo/a,Compositor,"Diplomático , Músico y Pedagogo"
José Elías Moreno,gonzález_de_cosío,mexico,José Elías Ávalos,elías,peru,hijo/a,Actor,Abogado
José de San Martín,san_martín,argentina,Mercedes Tomasa San Martín y Escalada,balcarce,argentina,hijo/a,Militar y político,Activista
José Gregorio Gutiérrez,gutiérrez_díaz,colombia,Ignacio Gutiérrez Vergara,caicedo,colombia,hijo/a,Abogado Fiscal y Civil,"Político , periodista , militar"
Joaquín Prieto,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,hijo/a,Militar y político,diputado y empresario
José Joaquín Vicuña,vicuña,chile,Benjamín Vicuña,aylwin,chile,hijo/a,Político,Actor y empresario
José María Lozano de Peralta,álvarez_del_casal,colombia,Teresa Lozano e Isasi,ayala,colombia,hijo/a,Empresario,NA
José Miguel Carrera,valdivieso,chile,José Miguel Carrera Fontecilla,pinto_chile,chile,hijo/a,Político y militar,Político y militar
José Miguel Irarrázaval Alcalde,mackenna,chile,Manuel José Yrarrázaval,concha_chile,chile,hijo/a,Abogado y político,Abogado y político
José Sanz de Santamaría,galeano,colombia,Mariano Sanz de Santamaría,sanz_de_santamaría,colombia,hijo/a,Político y militar,Arquitecto
José Vicente Ortega y Mesa,nariño,colombia,José María Ortega y Nariño,álvarez_del_casal,colombia,hijo/a,Político y militar,Político y militar
José de Mosquera y Prieto,mosquera,colombia,Joaquín de Mosquera,arboleda,colombia,hijo/a,NA,Político
José de Mosquera y Prieto,mosquera,colombia,Marcelino de Mosquera,arboleda,colombia,hijo/a,NA,Empresario
José de Vergara Azcárate,vergara-azcárate,colombia,Francisco Vergara Azcárate,caicedo,colombia,hijo/a,"Sacerdote , Filósofo",Abogado
Juan Manuel Abal Medina,abal_medina,argentina,Juan Manuel Galán,galán,colombia,hijo/a,"Periodista , político y abogado",Internacionalista Politólogo
Juan Manuel de Rosas,ortiz_de_rozas,argentina,Pedro Rosas y Belgrano,belgrano,argentina,hijo/a,"Estanciero , militar y político",Militar
Juan de Bolívar y Martínez de Villegas,bolívar,venezuela,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,hijo/a,Político,NA
Juan de Dios Rawson,rojo,argentina,Elvira Rawson,rawson,argentina,hijo/a,Militar,"Médica, política, profesora, sufragista"
Julita Astaburuaga,claro_chile,chile,Cristián Maquieira,vicuña,chile,hijo/a,Socialité,Diplomático
Julita Astaburuaga,claro_chile,chile,Diego Mazuera,mazuera,colombia,hijo/a,Socialité,Pintor
Justa Masías y Llosa,llosa,peru,Francisco Morales Bermúdez,morales_bermúdez,peru,hijo/a,NA,Político y oficial militar
Ladislao Errázuriz Pereira,echaurren,chile,Francisco Javier Errázuriz Talavera,errázuriz,chile,hijo/a,"Abogado , político","Ingeniero , empresario y político"
Leonidas Yerovi (hijo),yerovi,peru,Nicolás Yerovi,cano,peru,hijo/a,Escritor y periodista,"Escritor, periodista, poeta, dramaturgo, humorista"
Luisa Garmendia,cruz_chile,argentina,Enriqueta Pinto,bulnes,chile,hijo/a,Ama de casa,Ama de casa
Luisa Garmendia,pinto_chile,argentina,Enriqueta Pinto,bulnes,chile,hijo/a,Ama de casa,Ama de casa
Luisa Garmendia,pinto_chile,argentina,Aníbal Pinto,cruz_chile,chile,hijo/a,Ama de casa,Abogado y político
Magdalena Vicuña Aguirre,errázuriz,chile,Victoria Subercaseaux Vicuña,subercaseaux,chile,hijo/a,Socialité y filántropa,NA
Magdalena Vicuña Aguirre,errázuriz,chile,Antonio Subercaseaux,subercaseaux,chile,hijo/a,Socialité y filántropa,Comerciante
Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,Manuela Warnes,warnes,chile,hijo/a,Alcalde de primer voto del Cabildo de Buenos Aires,Primera Dama
Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,Martina Warnes,warnes,argentina,hijo/a,Alcalde de primer voto del Cabildo de Buenos Aires,NA
Manuel José Yrarrázaval,concha_chile,chile,Fernando Irarrázaval Mackenna,mackenna,chile,hijo/a,Abogado y político,abogado y político
Manuel José Yrarrázaval,concha_chile,chile,Arturo Yrarrázaval Correa,mackenna,chile,hijo/a,Abogado y político,Abogado y político
Manuel José Yrarrázaval,mackenna,chile,Manuel Yrarrázaval,concha_chile,chile,hijo/a,Abogado y político,Político
Manuel Pardo Ribadeneira,pardo,peru,Felipe Pardo y Aliaga,lavalle,peru,hijo/a,"Magistrado, funcionario público",Poeta dramaturgo periodista abogado político
Manuel de Tezanos Pinto (político),pinto_chile,argentina,Manuelita,eder,colombia,hijo/a,Comerciante y político,NA
Manuela Warnes,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,hijo/a,Primera Dama,diputado y empresario
María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,Simón Bolívar,bolívar,colombia,hijo/a,NA,Militar y político
Mariano Escalada,san_martín,argentina,Daniel Domingo de Escalada,escalada,argentina,hijo/a,Militar,Militar
Mariano Ignacio Prado,prado,peru,Manuel Prado Ugarteche,málaga,peru,hijo/a,Militar,Ingeniero civil y político
Mariano de la Llosa y Vizcarra,llosa,peru,María Mercedes Vial,vial,chile,hijo/a,"abogado , magistrado , político",Escritora
Matías Ramos Mejía,segurola,argentina,Francisco Melo,portales,chile,hijo/a,Militar,Actor y productor
Matilde Ladrón de Guevara,mendoza_ladrón_de_guevara,chile,Sybila Arredondo,bustamante,chile,hijo/a,"Escritora , periodista , poetisa y novelista",Historiadora
Melitón Pedraza,pedraza,argentina,Andrés Pedraza,billinghurst,argentina,hijo/a,Empresario,piloto
