nombre1,nombre2,fam1,fam2,pais1,pais2,tipo_relacion
Cristina Girardi,Francisco Javier Vergara,lavín,vergara-azcárate,chile,colombia,conyuge
Cristina Girardi,Francisco Javier Vergara,lavín,vergara-azcárate,chile,colombia,conyuge
Jorge Pinto Rodríguez,Julio Caro,pinto_chile,caicedo,chile,colombia,conyuge
Pedro Nolasco Cruz Vergara,Susana Correa,cruz_chile,borrero,chile,colombia,conyuge
Ernesto Fontaine,María Eugenia Cordovez,fontaine,febres-cordero,chile,ecuador,conyuge
Magdalena de Guzmán,Martín Cortés Zúñiga,pizarro,moctezuma,chile,mexico,conyuge
Miguel Allamand,Margarita Zavala,allamand,calderón_hinojosa,chile,mexico,conyuge
Condado de Villaminaya,Diego Portales y Meneses,portales,portales,chile,peru,conyuge
Dora Varona,Ciro Alegría,alegría,alegría,chile,peru,conyuge
María Ramírez,Santiago Antúnez de Mayolo,antúnez,antúnez,chile,peru,conyuge
Marquesado de Tejares,Diego Portales y Meneses,portales,portales,chile,peru,conyuge
Sybila Arredondo,José María Arguedas,bustamante,bustamante,chile,peru,conyuge
Javiera Parra,Manuel Llosa,parra_chile,llosa,chile,peru,pareja
Manuel Antonio José Warnes,Ana Jacoba García de Zúñiga,garcía_de_zúñiga,warnes,colombia,argentina,conyuge
Aníbal Fernández de Soto,Juan Saá,camacho,saá,colombia,argentina,conyuge
Shakira,Antonio de la Rúa,de_la_rúa,de_la_rúa,colombia,argentina,pareja
Eduardo Umaña Mendoza,Patricio Fernández,umaña,chadwick,colombia,chile,conyuge
Juan Gómez Martínez,María Teresa Campos,gómez_martínez,velasco_chile,colombia,chile,conyuge
Juan Gonzalo Restrepo Londoño,María Victoria Ovalle,jaramillo_colombia,errázuriz,colombia,chile,conyuge
Juan Pablo Obregón,Ana María Palma,obregón,vicuña,colombia,chile,pareja
Alonso Hernández Portocarrero,La Malinche,pizarro,moctezuma,colombia,mexico,conyuge
Hernán Cortés,Isabel Moctezuma Tecuichpo Ixcaxochitzin,moctezuma,moctezuma,colombia,mexico,pareja
Salvador Camacho Roldán,María del Carmen Ureta,camacho,ureta,colombia,peru,conyuge
Ana María Orozco,Salvador del Solar,del_solar,del_solar,colombia,peru,pareja
Eugen d'Albert,Teresa Carreño,carreño,carreño,colombia,venezuela,conyuge
Manuel Carvajal Sinisterra,María Teresa del Toro,borrero,toro_venezuela,colombia,venezuela,conyuge
Mariana Carcelén,Antonio José de Sucre,sucre,sucre,ecuador,colombia,conyuge
Manuela Sáenz,Simón Bolívar,palacios_venezuela,bolívar,ecuador,colombia,pareja
Guadalupe Pineda,Dardo Rocha,aguilar,rocha,mexico,argentina,conyuge
