persona_id,nombre,pais_persona,pais_vinculo,campo,texto
2494,Gonzalo Alegría,peru,chile,residencia,"Santiago de Surco , Lima"
2512,Gonzalo Romero Álvarez,bolivia,uruguay,ocupacion,"Escritor , historiador , político , Ministro de Relaciones Exteriores de Uruguay y crítico de arte"
2550,Guillermo Billinghurst,peru,chile,lugar_fallecimiento_parseado,"Iquique , Chile"
2550,Guillermo Billinghurst,peru,chile,lugar_nacimiento_parseado,"Arica , Perú (actual Chile )"
2552,Guillermo Brown y Blanco,argentina,uruguay,lugar_fallecimiento_parseado,"Montevideo , Uruguay"
2552,Guillermo Brown y Blanco,argentina,uruguay,lugar_nacimiento_parseado,"Montevideo , Uruguay"
2553,Guillermo Brown y Chitty,argentina,uruguay,lugar_fallecimiento_parseado,"Montevideo , Uruguay"
2583,Guillermo Quintero Calderón,colombia,chile,lugar_fallecimiento_parseado,"Quintero , Región de Valparaíso , Chile"
2604,Gustavo Alatriste,mexico,bolivia,residencia,"Monterrey , Mérida y La Paz"
2622,Gustavo Petro,colombia,argentina,lugar_nacimiento_parseado,"Ciénaga de Oro , Córdoba , Colombia"
2636,Héctor Florencio Varela,argentina,uruguay,lugar_nacimiento_parseado,Montevideo ( Uruguay )
2658,Hebe Podestá,argentina,uruguay,lugar_nacimiento_parseado,"Montevideo , Uruguay"
2662,Henrique Arboleda Cortés,colombia,peru,lugar_fallecimiento_parseado,"Flandes , Tolima , Colombia"
2699,Hernando Devis Echandía,colombia,peru,lugar_nacimiento_parseado,"Chaparral, Tolima, Colombia"
2703,Hernando Márquez Arbeláez,colombia,peru,lugar_nacimiento_parseado,"Ibagué , Tolima , Colombia"
2704,Hernando Pastrana,argentina,colombia,lugar_nacimiento_parseado,"Neiva , Colombia"
2712,Hernando de Soto (economista),peru,chile,residencia,"Santiago de Surco , Lima"
2719,Hipólito Francisco de Villegas,argentina,chile,lugar_fallecimiento_parseado,Santiago República de Chile
2719,Hipólito Francisco de Villegas,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , gobernación del Río de la Plata del Virreinato del Perú Imperio español"
2771,Ignacio José de Lizarzaburu,colombia,ecuador,residencia,"Riobamba , Ecuador"
