from,to,tipo,cross_country,cross_family,edge_kind,campo
146,3703,Hijo/a,FALSE,TRUE,familiar,NA
3749,3750,Padre/Madre,FALSE,TRUE,familiar,NA
3749,3750,Hijo/a,FALSE,TRUE,familiar,NA
632,3752,Padre/Madre,FALSE,FALSE,familiar,NA
632,3752,Hijo/a,FALSE,FALSE,familiar,NA
1821,3752,Cónyuge,FALSE,FALSE,familiar,NA
2658,3752,Padre/Madre,FALSE,FALSE,familiar,NA
2658,3752,Hijo/a,FALSE,FALSE,familiar,NA
288,3764,Hijo/a,FALSE,FALSE,familiar,NA
2521,3778,Cónyuge,FALSE,FALSE,familiar,NA
3265,3778,Hijo/a,FALSE,TRUE,familiar,NA
3265,3778,Padre/Madre,FALSE,TRUE,familiar,NA
3487,3778,Padre/Madre,FALSE,FALSE,familiar,NA
3750,3790,Padre/Madre,FALSE,TRUE,familiar,NA
3750,3790,Hijo/a,FALSE,TRUE,familiar,NA
126,3797,Cónyuge,FALSE,FALSE,familiar,NA
127,3797,Hijo/a,FALSE,FALSE,familiar,NA
670,3797,Padre/Madre,FALSE,FALSE,familiar,NA
670,3797,Hijo/a,FALSE,FALSE,familiar,NA
126,3798,Cónyuge,FALSE,FALSE,familiar,NA
127,3798,Padre/Madre,FALSE,FALSE,familiar,NA
127,3798,Hijo/a,FALSE,FALSE,familiar,NA
670,3798,Hijo/a,FALSE,FALSE,familiar,NA
702,3821,Cónyuge,FALSE,FALSE,familiar,NA
721,3821,Cónyuge,FALSE,TRUE,familiar,NA
3670,3821,Hijo/a,FALSE,FALSE,familiar,NA
3670,3821,Padre/Madre,FALSE,FALSE,familiar,NA
1155,3833,Hijo/a,FALSE,FALSE,familiar,NA
3433,3833,Padre/Madre,FALSE,FALSE,familiar,NA
3433,3833,Hijo/a,FALSE,FALSE,familiar,NA
1154,3834,Padre/Madre,FALSE,FALSE,familiar,NA
1155,3834,Padre/Madre,FALSE,FALSE,familiar,NA
1155,3834,Hijo/a,FALSE,FALSE,familiar,NA
3433,3834,Padre/Madre,FALSE,FALSE,familiar,NA
148,3838,Hijo/a,FALSE,TRUE,familiar,NA
149,3838,Padre/Madre,FALSE,FALSE,familiar,NA
149,3838,Hijo/a,FALSE,FALSE,familiar,NA
3837,3838,Hijo/a,FALSE,FALSE,familiar,NA
3837,3838,Padre/Madre,FALSE,FALSE,familiar,NA
458,3852,Padre/Madre,FALSE,FALSE,familiar,NA
458,3852,Hijo/a,FALSE,FALSE,familiar,NA
1154,3863,Hijo/a,FALSE,FALSE,familiar,NA
1155,3863,Padre/Madre,FALSE,FALSE,familiar,NA
1155,3863,Hijo/a,FALSE,FALSE,familiar,NA
3094,3863,Hijo/a,FALSE,FALSE,familiar,NA
3095,3863,Padre/Madre,FALSE,FALSE,familiar,NA
3095,3863,Hijo/a,FALSE,FALSE,familiar,NA
3867,3867,Padre/Madre,FALSE,FALSE,familiar,NA
3867,3868,Padre/Madre,FALSE,FALSE,familiar,NA
3867,3868,Hijo/a,FALSE,FALSE,familiar,NA
1845,3934,Hijo/a,FALSE,FALSE,familiar,NA
1846,3934,Padre/Madre,FALSE,FALSE,familiar,NA
1846,3934,Hijo/a,FALSE,FALSE,familiar,NA
1970,3934,Padre/Madre,FALSE,FALSE,familiar,NA
1970,3934,Hijo/a,FALSE,FALSE,familiar,NA
3934,3935,Padre/Madre,FALSE,FALSE,familiar,NA
3934,3935,Hijo/a,FALSE,FALSE,familiar,NA
3935,3936,Padre/Madre,FALSE,FALSE,familiar,NA
3935,3936,Hijo/a,FALSE,FALSE,familiar,NA
146,3955,Cónyuge,FALSE,FALSE,familiar,NA
147,3955,Padre/Madre,FALSE,FALSE,familiar,NA
147,3955,Hijo/a,FALSE,FALSE,familiar,NA
3703,3955,Hijo/a,FALSE,TRUE,familiar,NA
3703,3955,Padre/Madre,FALSE,TRUE,familiar,NA
2354,3974,Cónyuge,FALSE,FALSE,familiar,NA
3197,4022,Padre/Madre,FALSE,FALSE,familiar,NA
3198,4022,Hijo/a,FALSE,FALSE,familiar,NA
3198,4022,Padre/Madre,FALSE,FALSE,familiar,NA
3198,4023,Padre/Madre,FALSE,FALSE,familiar,NA
3198,4023,Hijo/a,FALSE,FALSE,familiar,NA
3197,4024,Padre/Madre,FALSE,FALSE,familiar,NA
3197,4024,Hijo/a,FALSE,FALSE,familiar,NA
3198,4024,Hijo/a,FALSE,FALSE,familiar,NA
724,4039,Cónyuge,FALSE,FALSE,familiar,NA
725,4039,Hijo/a,FALSE,FALSE,familiar,NA
726,4039,Cónyuge,FALSE,FALSE,familiar,NA
725,4040,Padre/Madre,FALSE,FALSE,familiar,NA
725,4040,Hijo/a,FALSE,FALSE,familiar,NA
726,4040,Cónyuge,FALSE,FALSE,familiar,NA
724,4042,Padre/Madre,FALSE,FALSE,familiar,NA
724,4042,Hijo/a,FALSE,FALSE,familiar,NA
726,4042,Hijo/a,FALSE,FALSE,familiar,NA
4039,4042,Padre/Madre,FALSE,FALSE,familiar,NA
4039,4042,Hijo/a,FALSE,FALSE,familiar,NA
4040,4042,Hijo/a,FALSE,FALSE,familiar,NA
1467,4056,Padre/Madre,FALSE,TRUE,familiar,NA
1467,4056,Hijo/a,FALSE,TRUE,familiar,NA
147,4060,Hijo/a,FALSE,FALSE,familiar,NA
147,4060,Cónyuge,FALSE,FALSE,familiar,NA
1520,4060,Padre/Madre,FALSE,FALSE,familiar,NA
1521,4060,Padre/Madre,FALSE,FALSE,familiar,NA
1521,4060,Hijo/a,FALSE,FALSE,familiar,NA
147,4062,Padre/Madre,FALSE,FALSE,familiar,NA
147,4062,Hijo/a,FALSE,FALSE,familiar,NA
