nombre1,nombre2,pais1,pais2,tipo_relacion
José Elías Moreno,José Elías Ávalos,mexico,peru,hijo/a
Paco Malgesto,Marcela Robles,mexico,peru,hijo/a
Alfredo del Mazo González,María del Carmen Ureta,mexico,peru,conyuge
David Alfaro Siqueiros,Blanca Luz Brum,mexico,uruguay,conyuge
Enrique Solano López,Elisa Alicia Lynch,paraguay,argentina,padre/madre
Juan Francisco López,Elisa Alicia Lynch,paraguay,argentina,padre/madre
Ercilia López de Blomberg,Héctor Pedro Blomberg,paraguay,argentina,hijo/a
Francisco Solano López,Elisa Alicia Lynch,paraguay,argentina,pareja
José Casimiro de Lavalle y Zugasti,José Antonio de Lavalle y Cortés,peru,argentina,padre/madre
Juan Bautista de Lavalle,José Antonio de Lavalle y Cortés,peru,argentina,padre/madre
Lucía Oxenford,Marcelo Oxenford,peru,argentina,padre/madre
Mariano Campero y Ugarte,Juan Manuel Fernández Campero,peru,argentina,padre/madre
Miguel Aráoz y Arce,Diego Aráoz,peru,argentina,hijo/a
Enrique Zileri,Daphne Dougall,peru,argentina,conyuge
Fernando Tola Mendoza,Carmen Dragonetti,peru,argentina,conyuge
Gianella Neyra,Segundo Cernadas,peru,argentina,conyuge
Hilda Gadea,Che Guevara,peru,argentina,conyuge
Sebastián Salazar Bondy,Inda Ledesma,peru,argentina,conyuge
Yvonne Frayssinet,Marcelo Oxenford,peru,argentina,conyuge
Yaco Eskenazi,Tilsa Lozano,peru,argentina,pareja
Mario Vargas Llosa,Julia Urquidi Illanes,peru,bolivia,conyuge
Cecilia Alegría Varona,Dora Varona,peru,chile,padre/madre
Cecilia Alegría Varona,Dora Varona,peru,chile,padre/madre
Gonzalo Alegría,Dora Varona,peru,chile,padre/madre
Luis Fermín de Carvajal,Fermín Francisco de Carvajal Vargas,peru,chile,padre/madre
Alonso II de Fonseca,Alonso III de Fonseca,peru,chile,hijo/a
Cecilia Alegría Varona,Alessia Injoque,peru,chile,hijo/a
Cecilia Alegría Varona,Alessia Injoque,peru,chile,hijo/a
Manuel Dammert Ego-Aguirre,Lucía Dammert,peru,chile,hijo/a
Mariano de la Llosa y Vizcarra,María Mercedes Vial,peru,chile,hijo/a
Carlos Malpica,Teresa Marinovic,peru,chile,conyuge
Ciro Alegría,Dora Varona,peru,chile,conyuge
Diego Portales y Meneses,Condado de Villaminaya,peru,chile,conyuge
Diego Portales y Meneses,Marquesado de Tejares,peru,chile,conyuge
José María Arguedas,Sybila Arredondo,peru,chile,conyuge
Luis Solari,María del Carmen Sotomayor,peru,chile,conyuge
Santiago Antúnez de Mayolo,María Ramírez,peru,chile,conyuge
Constanza Nordenflycht,Diego Portales,peru,chile,pareja
Constanza Nordenflycht,Diego Portales,peru,chile,pareja
Enrique Grau Seminario,Juan Manuel Grau y Berrío,peru,colombia,padre/madre
Miguel Grau,Juan Manuel Grau y Berrío,peru,colombia,padre/madre
Miguel Grau,Juan Manuel Grau y Berrío,peru,colombia,hijo/a
Andrea Llosa,Cristóbal Quintero,peru,colombia,hijo/a
Luis Caycedo y Flórez,Domingo Caycedo,peru,colombia,hijo/a
Luis Caycedo y Flórez,Fernando Caycedo,peru,colombia,hijo/a
Patricia Frayssinet,Alfonso Cano Isaza,peru,colombia,hijo/a
Rafael Santa Cruz (torero),Rafael Zea,peru,colombia,hijo/a
José Pardo y Aliaga,María Teresa Londoño,peru,colombia,conyuge
Luis Caycedo y Flórez,María Josefa Sanz de Santamaría,peru,colombia,conyuge
Manuel González Olaechea,María Eugenia Rojas,peru,colombia,conyuge
Gonzalo Revoredo,Beatriz Caballero,peru,colombia,pareja
Salvador del Solar,Ana María Orozco,peru,colombia,pareja
Lastenia Larriva,Numa Pompilio Llona,peru,ecuador,conyuge
Ignacio Escudero y Valdivieso,Gabriel Soto,peru,mexico,hijo/a
Juan Parra del Riego,Blanca Luz Brum,peru,uruguay,conyuge
César Miró,Blanca Luz Brum,peru,uruguay,conyuge
Alejandro Miró Quesada Garland,Adriana Cisneros,peru,venezuela,conyuge
José Podestá,Argentino Podestá,uruguay,argentina,padre/madre
María Teresa Torterolo,Antonio Podestá,uruguay,argentina,padre/madre
María Teresa Torterolo,Gerónimo Podestá,uruguay,argentina,padre/madre
María Teresa Torterolo,Juan Vicente Podestá,uruguay,argentina,padre/madre
María Teresa Torterolo,Pablo Podestá (actor),uruguay,argentina,padre/madre
Rosa Bozán,Olinda Bozán,uruguay,argentina,padre/madre
Jorge Batlle,Matilde Ibáñez Tálice,uruguay,argentina,padre/madre
Jorge Batlle,Matilde Ibáñez Tálice,uruguay,argentina,padre/madre
José Podestá,Pedro Podestá,uruguay,argentina,padre/madre
Luis Batlle Ibáñez,Matilde Ibáñez Tálice,uruguay,argentina,padre/madre
Paquita Vehil,Juana Tressols,uruguay,argentina,padre/madre
Jorge Batlle,Matilde Ibáñez Tálice,uruguay,argentina,hijo/a
Luis Batlle Ibáñez,Matilde Ibáñez Tálice,uruguay,argentina,hijo/a
Paquita Vehil,Juana Tressols,uruguay,argentina,hijo/a
María Teresa Torterolo,Pablo Podestá (actor),uruguay,argentina,hijo/a
María Teresa Torterolo,Gerónimo Podestá,uruguay,argentina,hijo/a
María Teresa Torterolo,Juan Vicente Podestá,uruguay,argentina,hijo/a
María Teresa Torterolo,Antonio Podestá,uruguay,argentina,hijo/a
Marcelino Escalada Baldez,Miguel Escalada,uruguay,argentina,hijo/a
Baltasar Unquera,Martina Warnes,uruguay,argentina,conyuge
Celia Podestá,Arturo Podestá,uruguay,argentina,conyuge
Luis Batlle Berres,Matilde Ibáñez Tálice,uruguay,argentina,conyuge
María Teresa Torterolo,Pedro Podestá,uruguay,argentina,conyuge
Victoria Saravia,Pablo Mouche,uruguay,argentina,pareja
Liliana García,Mauricio Pešutić,uruguay,chile,conyuge
